Run scenario: n021w4

Processing: week 0
================================================================================

Finish initial solution ...
penalties -- H1: 0, H2: 0, H3: 6000 H4: 0, S1: 630, S2+S3+S5: 3900, S4: 60, ComC: 441.5278
penalties -- H1: 0, H2: 2000, H3: 4000 H4: 0, S1: 570, S2+S3+S5: 3750, S4: 60, ComC: 398.0593
penalties -- H1: 0, H2: 2000, H3: 3500 H4: 0, S1: 600, S2+S3+S5: 3705, S4: 60, ComC: 383.0509
penalties -- H1: 0, H2: 2000, H3: 3500 H4: 0, S1: 600, S2+S3+S5: 3780, S4: 70, ComC: 396.7612
penalties -- H1: 0, H2: 1500, H3: 3500 H4: 0, S1: 570, S2+S3+S5: 3720, S4: 60, ComC: 395.0774
penalties -- H1: 0, H2: 1500, H3: 3500 H4: 0, S1: 570, S2+S3+S5: 3720, S4: 60, ComC: 395.0774
penalties -- H1: 0, H2: 2500, H3: 3500 H4: 0, S1: 630, S2+S3+S5: 3720, S4: 60, ComC: 386.1759
penalties -- H1: 0, H2: 2000, H3: 4000 H4: 0, S1: 600, S2+S3+S5: 3750, S4: 60, ComC: 414.0884
penalties -- H1: 0, H2: 1500, H3: 3500 H4: 0, S1: 540, S2+S3+S5: 3645, S4: 60, ComC: 398.0688
penalties -- H1: 0, H2: 1500, H3: 3500 H4: 0, S1: 540, S2+S3+S5: 3645, S4: 60, ComC: 398.0688
penalties -- H1: 0, H2: 1500, H3: 3500 H4: 0, S1: 540, S2+S3+S5: 3525, S4: 60, ComC: 404.4377
penalties -- H1: 0, H2: 2500, H3: 3500 H4: 0, S1: 600, S2+S3+S5: 3585, S4: 60, ComC: 397.3649
penalties -- H1: 0, H2: 2500, H3: 3000 H4: 0, S1: 600, S2+S3+S5: 3570, S4: 60, ComC: 395.4773
penalties -- H1: 0, H2: 2000, H3: 3500 H4: 0, S1: 570, S2+S3+S5: 3720, S4: 50, ComC: 391.6789
penalties -- H1: 0, H2: 1500, H3: 3500 H4: 0, S1: 540, S2+S3+S5: 3525, S4: 60, ComC: 404.4377
penalties -- H1: 0, H2: 1000, H3: 3500 H4: 0, S1: 510, S2+S3+S5: 3540, S4: 60, ComC: 416.8493
penalties -- H1: 0, H2: 1000, H3: 3500 H4: 0, S1: 510, S2+S3+S5: 3540, S4: 60, ComC: 416.8493
penalties -- H1: 0, H2: 1000, H3: 3500 H4: 0, S1: 510, S2+S3+S5: 3540, S4: 60, ComC: 416.8493
penalties -- H1: 0, H2: 1000, H3: 3500 H4: 0, S1: 540, S2+S3+S5: 3645, S4: 60, ComC: 413.5827
penalties -- H1: 0, H2: 1500, H3: 4500 H4: 0, S1: 510, S2+S3+S5: 3465, S4: 60, ComC: 414.7860
penalties -- H1: 0, H2: 1000, H3: 3500 H4: 0, S1: 510, S2+S3+S5: 3540, S4: 60, ComC: 416.8493
penalties -- H1: 0, H2: 1500, H3: 3500 H4: 0, S1: 540, S2+S3+S5: 3540, S4: 60, ComC: 419.4893
penalties -- H1: 0, H2: 1000, H3: 3500 H4: 0, S1: 510, S2+S3+S5: 3540, S4: 60, ComC: 416.8493
penalties -- H1: 0, H2: 1000, H3: 3500 H4: 0, S1: 510, S2+S3+S5: 3540, S4: 60, ComC: 416.8493
penalties -- H1: 0, H2: 1500, H3: 3500 H4: 0, S1: 540, S2+S3+S5: 3600, S4: 60, ComC: 421.9609
penalties -- H1: 0, H2: 1000, H3: 3500 H4: 0, S1: 510, S2+S3+S5: 3540, S4: 60, ComC: 416.8493
penalties -- H1: 0, H2: 1500, H3: 3500 H4: 0, S1: 540, S2+S3+S5: 3510, S4: 60, ComC: 409.3902
penalties -- H1: 0, H2: 1000, H3: 3500 H4: 0, S1: 510, S2+S3+S5: 3540, S4: 60, ComC: 416.8493
penalties -- H1: 0, H2: 1000, H3: 3500 H4: 0, S1: 510, S2+S3+S5: 3675, S4: 60, ComC: 415.8455
penalties -- H1: 0, H2: 1500, H3: 3500 H4: 0, S1: 540, S2+S3+S5: 3555, S4: 60, ComC: 404.0905
penalties -- H1: 0, H2: 1000, H3: 3500 H4: 0, S1: 510, S2+S3+S5: 3540, S4: 60, ComC: 416.8493
penalties -- H1: 0, H2: 1000, H3: 3500 H4: 0, S1: 510, S2+S3+S5: 3540, S4: 60, ComC: 416.8493
penalties -- H1: 0, H2: 1000, H3: 3500 H4: 0, S1: 510, S2+S3+S5: 3540, S4: 60, ComC: 416.8493
penalties -- H1: 0, H2: 1000, H3: 3500 H4: 0, S1: 510, S2+S3+S5: 3540, S4: 60, ComC: 416.8493
penalties -- H1: 0, H2: 1000, H3: 3500 H4: 0, S1: 510, S2+S3+S5: 3540, S4: 60, ComC: 416.8493
penalties -- H1: 0, H2: 1000, H3: 3500 H4: 0, S1: 510, S2+S3+S5: 3540, S4: 60, ComC: 412.2250
penalties -- H1: 0, H2: 1500, H3: 3500 H4: 0, S1: 510, S2+S3+S5: 3375, S4: 60, ComC: 419.6766
penalties -- H1: 0, H2: 1000, H3: 3500 H4: 0, S1: 510, S2+S3+S5: 3540, S4: 60, ComC: 412.2250
penalties -- H1: 0, H2: 1000, H3: 3500 H4: 0, S1: 510, S2+S3+S5: 3540, S4: 60, ComC: 412.2250
penalties -- H1: 0, H2: 1500, H3: 3000 H4: 0, S1: 540, S2+S3+S5: 3615, S4: 60, ComC: 406.3053
penalties -- H1: 0, H2: 1000, H3: 3500 H4: 0, S1: 510, S2+S3+S5: 3540, S4: 60, ComC: 412.2250
penalties -- H1: 0, H2: 1500, H3: 3500 H4: 0, S1: 540, S2+S3+S5: 3540, S4: 60, ComC: 416.1675
penalties -- H1: 0, H2: 1000, H3: 3500 H4: 0, S1: 510, S2+S3+S5: 3675, S4: 60, ComC: 410.1037
penalties -- H1: 0, H2: 1000, H3: 3500 H4: 0, S1: 510, S2+S3+S5: 3540, S4: 60, ComC: 412.2250
penalties -- H1: 0, H2: 1000, H3: 3500 H4: 0, S1: 510, S2+S3+S5: 3540, S4: 60, ComC: 412.2250
penalties -- H1: 0, H2: 1000, H3: 3500 H4: 0, S1: 510, S2+S3+S5: 3570, S4: 60, ComC: 402.2464
penalties -- H1: 0, H2: 1000, H3: 3500 H4: 0, S1: 510, S2+S3+S5: 3570, S4: 60, ComC: 402.2464
penalties -- H1: 0, H2: 1500, H3: 3500 H4: 0, S1: 540, S2+S3+S5: 3585, S4: 60, ComC: 402.2464
penalties -- H1: 0, H2: 1000, H3: 3500 H4: 0, S1: 510, S2+S3+S5: 3570, S4: 60, ComC: 402.2464
penalties -- H1: 0, H2: 1000, H3: 3500 H4: 0, S1: 510, S2+S3+S5: 3570, S4: 60, ComC: 402.2464
penalties -- H1: 0, H2: 1000, H3: 4000 H4: 0, S1: 480, S2+S3+S5: 3585, S4: 60, ComC: 400.8786
penalties -- H1: 0, H2: 1000, H3: 3500 H4: 0, S1: 510, S2+S3+S5: 3570, S4: 60, ComC: 402.2464
penalties -- H1: 0, H2: 1000, H3: 3500 H4: 0, S1: 510, S2+S3+S5: 3570, S4: 60, ComC: 400.0715
penalties -- H1: 0, H2: 1000, H3: 3500 H4: 0, S1: 510, S2+S3+S5: 3570, S4: 60, ComC: 400.0715
penalties -- H1: 0, H2: 1000, H3: 3500 H4: 0, S1: 510, S2+S3+S5: 3570, S4: 60, ComC: 400.0715
penalties -- H1: 0, H2: 1500, H3: 3500 H4: 0, S1: 540, S2+S3+S5: 3510, S4: 50, ComC: 401.1648
penalties -- H1: 0, H2: 1000, H3: 3500 H4: 0, S1: 510, S2+S3+S5: 3570, S4: 60, ComC: 400.0715
penalties -- H1: 0, H2: 1000, H3: 3500 H4: 0, S1: 510, S2+S3+S5: 3570, S4: 60, ComC: 400.0715
penalties -- H1: 0, H2: 1000, H3: 3500 H4: 0, S1: 510, S2+S3+S5: 3570, S4: 60, ComC: 400.0715
penalties -- H1: 0, H2: 1000, H3: 3500 H4: 0, S1: 510, S2+S3+S5: 3570, S4: 60, ComC: 400.0715
penalties -- H1: 0, H2: 1000, H3: 3500 H4: 0, S1: 510, S2+S3+S5: 3570, S4: 60, ComC: 400.0715
penalties -- H1: 0, H2: 1500, H3: 4000 H4: 0, S1: 540, S2+S3+S5: 3600, S4: 60, ComC: 410.9449
penalties -- H1: 0, H2: 2000, H3: 3500 H4: 0, S1: 570, S2+S3+S5: 3510, S4: 60, ComC: 386.1208
penalties -- H1: 0, H2: 1000, H3: 3500 H4: 0, S1: 540, S2+S3+S5: 3525, S4: 60, ComC: 403.8289
penalties -- H1: 0, H2: 500, H3: 4000 H4: 0, S1: 510, S2+S3+S5: 3540, S4: 60, ComC: 405.9646
penalties -- H1: 0, H2: 1000, H3: 4500 H4: 0, S1: 540, S2+S3+S5: 3465, S4: 60, ComC: 430.6532
penalties -- H1: 0, H2: 1000, H3: 4000 H4: 0, S1: 510, S2+S3+S5: 3540, S4: 60, ComC: 405.9169
penalties -- H1: 0, H2: 1500, H3: 4000 H4: 0, S1: 570, S2+S3+S5: 3540, S4: 60, ComC: 401.8443
penalties -- H1: 0, H2: 500, H3: 4000 H4: 0, S1: 510, S2+S3+S5: 3540, S4: 60, ComC: 405.9646
penalties -- H1: 0, H2: 500, H3: 4000 H4: 0, S1: 510, S2+S3+S5: 3540, S4: 60, ComC: 405.9646
penalties -- H1: 0, H2: 500, H3: 4000 H4: 0, S1: 510, S2+S3+S5: 3540, S4: 60, ComC: 405.9646
penalties -- H1: 0, H2: 1000, H3: 4000 H4: 0, S1: 540, S2+S3+S5: 3510, S4: 60, ComC: 400.2460
penalties -- H1: 0, H2: 500, H3: 4000 H4: 0, S1: 510, S2+S3+S5: 3705, S4: 60, ComC: 409.7761
penalties -- H1: 0, H2: 500, H3: 4000 H4: 0, S1: 510, S2+S3+S5: 3540, S4: 60, ComC: 405.9646
penalties -- H1: 0, H2: 500, H3: 4000 H4: 0, S1: 510, S2+S3+S5: 3540, S4: 60, ComC: 405.9646
penalties -- H1: 0, H2: 500, H3: 4000 H4: 0, S1: 510, S2+S3+S5: 3540, S4: 60, ComC: 405.9646
penalties -- H1: 0, H2: 1000, H3: 4000 H4: 0, S1: 510, S2+S3+S5: 3375, S4: 60, ComC: 413.4162
penalties -- H1: 0, H2: 1000, H3: 3500 H4: 0, S1: 540, S2+S3+S5: 3615, S4: 60, ComC: 398.1869
penalties -- H1: 0, H2: 1500, H3: 4000 H4: 0, S1: 510, S2+S3+S5: 3570, S4: 60, ComC: 423.6667
penalties -- H1: 0, H2: 1000, H3: 3500 H4: 0, S1: 540, S2+S3+S5: 3615, S4: 60, ComC: 398.1869
penalties -- H1: 0, H2: 1000, H3: 3500 H4: 0, S1: 540, S2+S3+S5: 3615, S4: 60, ComC: 398.1869
